vaccine_time,vaccine_amount,A1-R1,A1-R2,A5-R1,A5-R2,A4-R1,A4-R2,A3-R1,A3-R2,A2-R1,A2-R2
04/08/2022,0.0004113792893980252,0,0,117.04,91.96,75.6,32.4,-11.049999999999999,-1.95,0.0,0.0
04/09/2022,0.0004767386157509825,0,0,146.16000000000003,114.84,91.69999999999999,39.3,-47.6,-8.4,0.0,0.0
04/10/2022,0.0003652432943253495,0,0,92.96000000000001,73.04,86.1,36.9,-10.2,-1.7999999999999998,0.0,0.0
04/11/2022,0.00017531678127616777,0,0,47.040000000000006,36.96,40.599999999999994,17.4,-9.35,-1.65,0.0,0.0
04/12/2022,0.0002714334376775755,0,0,77.84,61.160000000000004,60.9,26.099999999999998,-28.05,-4.95,0.0,0.0
04/13/2022,0.00036678116082777205,0,0,104.72000000000001,82.28,83.3,35.699999999999996,-29.75,-5.25,0.0,0.0
04/14/2022,0.00041676182215650404,0,0,115.92000000000002,91.08,82.6,35.4,-21.25,-3.75,0.0,0.0
04/15/2022,0.00034986462930112426,0,0,105.28000000000002,82.72,72.8,31.2,-41.65,-7.35,0.0,0.0
04/16/2022,0.00040292102363470133,0,0,122.08000000000001,95.92,74.19999999999999,31.799999999999997,-50.15,-8.85,0.0,0.0
04/17/2022,0.00027758490368726563,0,0,68.32000000000001,53.68,71.39999999999999,30.599999999999998,-18.7,-3.3,0.0,0.0
04/18/2022,0.0002575926391557728,0,0,66.64,52.36,49.699999999999996,21.3,-15.299999999999999,-2.6999999999999997,0.0,0.0
04/19/2022,0.0002252974426048998,0,0,44.800000000000004,35.2,51.099999999999994,21.9,39.949999999999996,7.05,0.0,0.0
04/20/2022,2.3067997536337864e-06,0,0,0.56,0.44,0.0,0.0,0.0,0.0,0.0,0.0
04/21/2022,0.000665896195548953,0,0,187.04000000000002,146.96,128.79999999999998,55.199999999999996,-32.3,-5.7,0.0,0.0
04/22/2022,0.0002968082349675472,0,0,78.4,61.6,68.60000000000001,29.400000000000006,-17.850000000000023,-3.1500000000000044,0.0,0.0
04/23/2022,0.00037216369358625083,0,0,84.55999999999999,66.43999999999998,97.30000000000001,41.70000000000001,14.450000000000024,2.5500000000000043,0.0,0.0
04/24/2022,0.0002414450408803363,0,0,72.80000000000001,57.2,39.9,17.099999999999998,-20.4,-3.5999999999999996,0.0,0.0
04/25/2022,0.00018223718053706912,0,0,38.64,30.36,42.699999999999996,18.3,15.299999999999999,2.6999999999999997,0.0,0.0
04/26/2022,0.0010995745492321048,0,0,267.12,209.88,442.4,189.6,-141.95,-25.05,0.0,0.0
04/27/2022,0.0002821985031945332,0,0,48.720000000000006,38.28,58.099999999999994,24.9,66.3,11.7,0.0,0.0
04/28/2022,0.0003044975674796598,0,0,72.80000000000001,57.2,70.69999999999999,30.299999999999997,13.6,2.4,0.0,0.0
04/29/2022,0.0003160315662478287,0,0,55.440000000000005,43.56,79.10000000000001,33.900000000000006,63.74999999999997,11.249999999999995,0.0,0.0
04/30/2022,0.0003291034315184202,0,0,68.88000000000001,54.12,72.1,30.9,44.199999999999996,7.8,0.0,0.0
05/01/2022,0.00018838864654675922,0,0,41.440000000000005,32.56,39.9,17.099999999999998,17.849999999999998,3.15,0.0,0.0
05/02/2022,0.00014686625098135107,0,0,21.840000000000003,17.16,37.10000000000001,15.900000000000004,28.899999999999988,5.099999999999998,0.0,0.0
05/03/2022,0.00019223331280281554,0,0,28.000000000000004,22.0,37.8,16.2,61.199999999999996,10.799999999999999,0.0,0.0
05/04/2022,0.0003298723647696314,0,0,72.80000000000001,57.2,70.69999999999999,30.299999999999997,34.85,6.1499999999999995,0.0,0.0
05/05/2022,0.0005490183413648411,0,0,117.60000000000001,92.4,134.39999999999995,57.59999999999998,39.100000000000044,6.900000000000008,0.0,0.0
05/06/2022,0.0005636280731378551,0,0,82.32000000000001,64.68,111.3,47.699999999999996,154.7,27.3,0.0,0.0
05/07/2022,0.0004144550224028703,0,0,90.72000000000001,71.28,81.19999999999999,34.8,34.85,6.1499999999999995,0.0,0.0
05/08/2022,0.0002475965068900264,0,0,43.68000000000001,34.32,57.4,24.599999999999998,44.199999999999996,7.8,0.0,0.0
05/09/2022,0.00010380598891352038,0,0,11.200000000000001,8.8,25.9,11.1,31.45,5.55,0.0,0.0
05/10/2022,0.00022837317560974485,0,0,53.760000000000005,42.24,53.199999999999996,22.8,3.4,0.6,0.0,0.0
05/11/2022,0.00033602383077932155,0,0,71.68,56.32,79.1,33.9,30.599999999999998,5.3999999999999995,0.0,0.0
05/12/2022,0.00039446275787137746,0,0,49.28,38.72,82.6,35.4,114.75,20.25,0.0,0.0
05/13/2022,0.000302190767726026,0,0,53.760000000000005,42.24,74.19999999999999,31.799999999999997,65.45,11.549999999999999,0.0,0.0
05/14/2022,0.0004221443549149829,0,0,52.080000000000005,40.92,115.49999999999999,49.5,133.44999999999996,23.54999999999999,0.0,0.0
05/15/2022,0.00024605864038760385,0,0,45.92,36.08,69.3,29.7,23.8,4.2,0.0,0.0
05/16/2022,0.00016762744876405513,0,0,24.64,19.36,38.5,16.5,39.949999999999996,7.05,0.0,0.0
05/17/2022,0.0002921946354602796,0,0,36.400000000000006,28.6,73.5,31.5,95.2,16.8,0.0,0.0
05/18/2022,0.0003252587652623639,0,0,54.88,43.12,75.6,32.4,69.7,12.299999999999999,0.0,0.0
05/19/2022,0.00026681983817030796,0,0,44.800000000000004,35.2,56.0,24.0,56.1,9.9,0.0,0.0
05/20/2022,0.0002598994389094066,0,0,42.00000000000001,33.0,48.3,20.7,63.75,11.25,0.0,0.0
05/21/2022,0.0003936938246201662,0,0,58.239999999999995,45.75999999999999,77.7,33.300000000000004,82.45,14.55,0.0,0.0
05/22/2022,0.00043444728693436307,0,0,47.040000000000006,36.96,76.3,32.699999999999996,44.199999999999996,7.8,0.0,0.0
05/23/2022,0.00030911116698692737,0,0,14.559999999999999,11.439999999999998,60.199999999999996,25.8,34.0,6.0,77.4,8.6
05/24/2022,0.00039061809161532114,0,0,43.68000000000001,34.32,56.0,24.0,49.3,8.7,0.0,0.0
05/25/2022,0.000536715409345461,0,0,46.480000000000004,36.52,85.39999999999999,36.6,114.75,20.25,0.0,0.0
05/26/2022,0.00048827261451915143,0,0,58.800000000000004,46.2,75.6,32.4,119.85,21.15,0.0,0.0
05/27/2022,0.00039292489136895495,0,0,35.84,28.16,51.099999999999994,21.9,88.39999999999999,15.6,4.5,0.5
05/28/2022,0.0003952316911225887,0,0,35.84,28.16,65.8,28.2,67.14999999999999,11.85,0.0,0.0
05/29/2022,0.0003260276985135751,0,0,32.480000000000004,25.52,46.9,20.099999999999998,63.75,11.25,0.0,0.0
05/30/2022,0.00026374410516546293,0,0,20.720000000000002,16.28,43.4,18.599999999999998,17.0,3.0,45.900000000000055,5.100000000000006
05/31/2022,0.00023067997536337862,0,0,11.760000000000002,9.24,35.0,15.0,54.4,9.6,46.800000000000004,5.2
06/01/2022,0.0002837363696969557,0,0,22.400000000000002,17.6,44.8,19.2,38.25,6.75,32.4,3.6
06/02/2022,0.00047520074924855995,0,0,40.32000000000001,31.68,58.8,25.2,74.8,13.2,66.60000000000001,7.4
